Location;Means of Transportation;TimeFrame;DataFormat;Data;Fips
Crown Heights South;Public Transit;2012;Percent;0,70115;309
Crown Heights South;Walking;2012;Percent;0,09635;309
Crown Heights South;Work at Home;2012;Percent;0,04462;309
East Flatbush;Bicycle;2012;Percent;0,0017;317
East Flatbush;Carpool, Taxi, Other;2012;Percent;0,04443;317
East Flatbush;Driving Alone;2012;Percent;0,24836;317
East Flatbush;Public Transit;2012;Percent;0,64949;317
East Flatbush;Walking;2012;Percent;0,0415;317
East Flatbush;Work at Home;2012;Percent;0,01453;317
East Harlem;Bicycle;2012;Percent;0,01899;111
East Harlem;Carpool, Taxi, Other;2012;Percent;0,04002;111
East Harlem;Driving Alone;2012;Percent;0,05972;111
East Harlem;Public Transit;2012;Percent;0,71943;111
East Harlem;Walking;2012;Percent;0,12517;111
East Harlem;Work at Home;2012;Percent;0,03666;111
East New York;Bicycle;2012;Percent;0,00097;305
East New York;Carpool, Taxi, Other;2012;Percent;0,05568;305
East New York;Driving Alone;2012;Percent;0,21383;305
East New York;Public Transit;2012;Percent;0,67113;305
East New York;Walking;2012;Percent;0,03568;305
East New York;Work at Home;2012;Percent;0,02271;305
East Tremont;Bicycle;2012;Percent;0,01019;206
East Tremont;Carpool, Taxi, Other;2012;Percent;0,04356;206
East Tremont;Driving Alone;2012;Percent;0,16208;206
East Tremont;Public Transit;2012;Percent;0,65197;206
East Tremont;Walking;2012;Percent;0,1039;206
East Tremont;Work at Home;2012;Percent;0,02831;206
Elmhurst/Corona;Bicycle;2012;Percent;0,01937;404
Elmhurst/Corona;Carpool, Taxi, Other;2012;Percent;0,04852;404
Elmhurst/Corona;Driving Alone;2012;Percent;0,14213;404
Elmhurst/Corona;Public Transit;2012;Percent;0,70553;404
Elmhurst/Corona;Walking;2012;Percent;0,07157;404
Elmhurst/Corona;Work at Home;2012;Percent;0,01287;404
Flatbush/Midwood;Work at Home;2012;Percent;0,03314;314
Flatbush/Midwood;Walking;2012;Percent;0,0707;314
Flatbush/Midwood;Public Transit;2012;Percent;0,59311;314
Flatbush/Midwood;Driving Alone;2012;Percent;0,24317;314
Flatbush/Midwood;Carpool, Taxi, Other;2012;Percent;0,05555;314
Flatbush/Midwood;Bicycle;2012;Percent;0,00433;314
Flushing;Work at Home;2012;Percent;0,02618;407
Flushing;Walking;2012;Percent;0,09754;407
Flushing;Public Transit;2012;Percent;0,37539;407
Flushing;Driving Alone;2012;Percent;0,34086;407
Flushing;Carpool, Taxi, Other;2012;Percent;0,15639;407
Flushing;Bicycle;2012;Percent;0,00363;407
Fort Greene/Brooklyn Hts;Work at Home;2012;Percent;0,07155;302
Fort Greene/Brooklyn Hts;Walking;2012;Percent;0,10582;302
Fort Greene/Brooklyn Hts;Public Transit;2012;Percent;0,67921;302
Fort Greene/Brooklyn Hts;Driving Alone;2012;Percent;0,08387;302
Fort Greene/Brooklyn Hts;Carpool, Taxi, Other;2012;Percent;0,02648;302
Fort Greene/Brooklyn Hts;Bicycle;2012;Percent;0,03308;302
Fresh Meadows/Briarwood;Bicycle;2012;Percent;0,00031;408
Fresh Meadows/Briarwood;Carpool, Taxi, Other;2012;Percent;0,06613;408
Fresh Meadows/Briarwood;Driving Alone;2012;Percent;0,40985;408
Fresh Meadows/Briarwood;Public Transit;2012;Percent;0,47231;408
Fresh Meadows/Briarwood;Walking;2012;Percent;0,03776;408
Fresh Meadows/Briarwood;Work at Home;2012;Percent;0,01364;408
Greenwich Village;Work at Home;2012;Percent;0,07636;102
Greenwich Village;Walking;2012;Percent;0,24684;102
Greenwich Village;Public Transit;2012;Percent;0,55983;102
Greenwich Village;Driving Alone;2012;Percent;0,04659;102
Greenwich Village;Carpool, Taxi, Other;2012;Percent;0,05742;102
Greenwich Village;Bicycle;2012;Percent;0,01297;102
Howard Beach;Bicycle;2012;Percent;0,00223;410
Howard Beach;Carpool, Taxi, Other;2012;Percent;0,07501;410
Howard Beach;Driving Alone;2012;Percent;0,42753;410
Howard Beach;Public Transit;2012;Percent;0,44358;410
Howard Beach;Walking;2012;Percent;0,02995;410
Howard Beach;Work at Home;2012;Percent;0,0217;410
Hunts Point;Bicycle;2012;Percent;0,00336;202
Hunts Point;Carpool, Taxi, Other;2012;Percent;0,05076;202
Hunts Point;Driving Alone;2012;Percent;0,11313;202
Hunts Point;Public Transit;2012;Percent;0,674;202
Hunts Point;Walking;2012;Percent;0,13084;202
Hunts Point;Work at Home;2012;Percent;0,02791;202
Jackson Heights;Work at Home;2012;Percent;0,01283;403
Jackson Heights;Walking;2012;Percent;0,0747;403
Jackson Heights;Public Transit;2012;Percent;0,66055;403
Jackson Heights;Driving Alone;2012;Percent;0,17089;403
Jackson Heights;Carpool, Taxi, Other;2012;Percent;0,06952;403
Jackson Heights;Bicycle;2012;Percent;0,01151;403
Jamaica/St. Albans;Bicycle;2012;Percent;0,00219;412
Jamaica/St. Albans;Carpool, Taxi, Other;2012;Percent;0,06133;412
Jamaica/St. Albans;Driving Alone;2012;Percent;0,35177;412
Jamaica/St. Albans;Public Transit;2012;Percent;0,5201;412
Jamaica/St. Albans;Walking;2012;Percent;0,03519;412
Jamaica/St. Albans;Work at Home;2012;Percent;0,02943;412
Lower East Side;Bicycle;2012;Percent;0,04046;103
Lower East Side;Carpool, Taxi, Other;2012;Percent;0,03689;103
Lower East Side;Driving Alone;2012;Percent;0,04158;103
Lower East Side;Public Transit;2012;Percent;0,60433;103
Lower East Side;Walking;2012;Percent;0,22859;103
Lower East Side;Work at Home;2012;Percent;0,04816;103
Manhattanville;Bicycle;2012;Percent;0,02115;109
Manhattanville;Carpool, Taxi, Other;2012;Percent;0,02457;109
Manhattanville;Driving Alone;2012;Percent;0,09718;109
Manhattanville;Public Transit;2012;Percent;0,64753;109
Manhattanville;Walking;2012;Percent;0,13554;109
Manhattanville;Work at Home;2012;Percent;0,07403;109
Midtown Business District;Bicycle;2012;Percent;0,0135;105
Midtown Business District;Carpool, Taxi, Other;2012;Percent;0,06207;105
Midtown Business District;Driving Alone;2012;Percent;0,04852;105
Midtown Business District;Public Transit;2012;Percent;0,45812;105
Midtown Business District;Walking;2012;Percent;0,3436;105
Midtown Business District;Work at Home;2012;Percent;0,07419;105
Morrisania;Work at Home;2012;Percent;0,02831;203
Morrisania;Walking;2012;Percent;0,1039;203
Morrisania;Public Transit;2012;Percent;0,65197;203
Morrisania;Driving Alone;2012;Percent;0,16208;203
Morrisania;Carpool, Taxi, Other;2012;Percent;0,04356;203
Morrisania;Bicycle;2012;Percent;0,01019;203
Mott Haven;Work at Home;2012;Percent;0,02791;201
Mott Haven;Walking;2012;Percent;0,13084;201
Mott Haven;Public Transit;2012;Percent;0,674;201
Mott Haven;Driving Alone;2012;Percent;0,11313;201
Mott Haven;Carpool, Taxi, Other;2012;Percent;0,05076;201
Mott Haven;Bicycle;2012;Percent;0,00336;201
Murray Hill/Stuyvesant;Work at Home;2012;Percent;0,11221;106
Murray Hill/Stuyvesant;Walking;2012;Percent;0,31969;106
Murray Hill/Stuyvesant;Public Transit;2012;Percent;0,42021;106
Murray Hill/Stuyvesant;Driving Alone;2012;Percent;0,07122;106
Murray Hill/Stuyvesant;Carpool, Taxi, Other;2012;Percent;0,06658;106
Murray Hill/Stuyvesant;Bicycle;2012;Percent;0,01009;106
Park Slope;Work at Home;2012;Percent;0,09268;306
Park Slope;Walking;2012;Percent;0,09557;306
Park Slope;Public Transit;2012;Percent;0,66046;306
Park Slope;Driving Alone;2012;Percent;0,0808;306
Park Slope;Carpool, Taxi, Other;2012;Percent;0,03705;306
Park Slope;Bicycle;2012;Percent;0,03345;306
Pelham Parkway;Work at Home;2012;Percent;0,0213;211
Pelham Parkway;Walking;2012;Percent;0,07935;211
Pelham Parkway;Public Transit;2012;Percent;0,50783;211
Pelham Parkway;Driving Alone;2012;Percent;0,29644;211
Pelham Parkway;Carpool, Taxi, Other;2012;Percent;0,09508;211
Pelham Parkway;Bicycle;2012;Percent;0;211
Queens Village;Work at Home;2012;Percent;0,02985;413
Queens Village;Walking;2012;Percent;0,01528;413
Queens Village;Public Transit;2012;Percent;0,35067;413
Queens Village;Driving Alone;2012;Percent;0,53477;413
Queens Village;Carpool, Taxi, Other;2012;Percent;0,06869;413
Queens Village;Bicycle;2012;Percent;0,00074;413
Rego Park/Forest Hills;Bicycle;2012;Percent;0,0067;406
Rego Park/Forest Hills;Carpool, Taxi, Other;2012;Percent;0,05017;406
Rego Park/Forest Hills;Driving Alone;2012;Percent;0,21299;406
Rego Park/Forest Hills;Public Transit;2012;Percent;0,61512;406
Rego Park/Forest Hills;Walking;2012;Percent;0,07336;406
Rego Park/Forest Hills;Work at Home;2012;Percent;0,04167;406
Ridgewood/Glendale;Work at Home;2012;Percent;0,01848;405
Ridgewood/Glendale;Walking;2012;Percent;0,06275;405
Ridgewood/Glendale;Public Transit;2012;Percent;0,54719;405
Ridgewood/Glendale;Driving Alone;2012;Percent;0,31043;405
Ridgewood/Glendale;Carpool, Taxi, Other;2012;Percent;0,05592;405
Ridgewood/Glendale;Bicycle;2012;Percent;0,00523;405
Riverdale;Bicycle;2012;Percent;0,00324;208
Riverdale;Carpool, Taxi, Other;2012;Percent;0,06791;208
Riverdale;Driving Alone;2012;Percent;0,25284;208
Riverdale;Public Transit;2012;Percent;0,54058;208
Riverdale;Walking;2012;Percent;0,08835;208
Riverdale;Work at Home;2012;Percent;0,04709;208
Sheepshead Bay;Bicycle;2012;Percent;0,00373;315
Sheepshead Bay;Carpool, Taxi, Other;2012;Percent;0,08433;315
Sheepshead Bay;Driving Alone;2012;Percent;0,30676;315
Sheepshead Bay;Public Transit;2012;Percent;0,4923;315
Sheepshead Bay;Walking;2012;Percent;0,06912;315
Sheepshead Bay;Work at Home;2012;Percent;0,04377;315
South Beach;Work at Home;2012;Percent;0,01792;502
South Beach;Walking;2012;Percent;0,02935;502
South Beach;Public Transit;2012;Percent;0,27842;502
South Beach;Driving Alone;2012;Percent;0,58811;502
South Beach;Carpool, Taxi, Other;2012;Percent;0,08621;502
South Beach;Bicycle;2012;Percent;0;502
St. George;Bicycle;2012;Percent;0,00205;501
St. George;Carpool, Taxi, Other;2012;Percent;0,08095;501
St. George;Driving Alone;2012;Percent;0,48135;501
St. George;Public Transit;2012;Percent;0,37977;501
St. George;Walking;2012;Percent;0,04082;501
St. George;Work at Home;2012;Percent;0,01506;501
Sunnyside/Woodside;Bicycle;2012;Percent;0,01002;402
Sunnyside/Woodside;Carpool, Taxi, Other;2012;Percent;0,04553;402
Sunnyside/Woodside;Driving Alone;2012;Percent;0,15426;402
Sunnyside/Woodside;Public Transit;2012;Percent;0,69565;402
Sunnyside/Woodside;Walking;2012;Percent;0,0829;402
Sunnyside/Woodside;Work at Home;2012;Percent;0,01164;402
Sunset Park;Bicycle;2012;Percent;0,02559;307
Sunset Park;Carpool, Taxi, Other;2012;Percent;0,06091;307
Sunset Park;Driving Alone;2012;Percent;0,10965;307
Sunset Park;Public Transit;2012;Percent;0,61854;307
Sunset Park;Walking;2012;Percent;0,16086;307
Sunset Park;Work at Home;2012;Percent;0,02444;307
The Rockaways;Bicycle;2012;Percent;0,01169;414
The Rockaways;Carpool, Taxi, Other;2012;Percent;0,07647;414
The Rockaways;Driving Alone;2012;Percent;0,45381;414
The Rockaways;Public Transit;2012;Percent;0,34766;414
The Rockaways;Walking;2012;Percent;0,1025;414
The Rockaways;Work at Home;2012;Percent;0,00787;414
Throgs Neck;Bicycle;2012;Percent;0,00122;210
Throgs Neck;Carpool, Taxi, Other;2012;Percent;0,07048;210
Throgs Neck;Driving Alone;2012;Percent;0,39563;210
Throgs Neck;Public Transit;2012;Percent;0,44249;210
Throgs Neck;Walking;2012;Percent;0,07068;210
Throgs Neck;Work at Home;2012;Percent;0,0195;210
Tottenville;Bicycle;2012;Percent;0,00093;503
Tottenville;Carpool, Taxi, Other;2012;Percent;0,10187;503
Tottenville;Driving Alone;2012;Percent;0,64308;503
Tottenville;Public Transit;2012;Percent;0,21444;503
Tottenville;Walking;2012;Percent;0,01361;503
Tottenville;Work at Home;2012;Percent;0,02607;503
Unionport/Soundview;Work at Home;2012;Percent;0,02092;209
Unionport/Soundview;Walking;2012;Percent;0,05106;209
Unionport/Soundview;Public Transit;2012;Percent;0,66074;209
Unionport/Soundview;Driving Alone;2012;Percent;0,20487;209
Unionport/Soundview;Carpool, Taxi, Other;2012;Percent;0,05856;209
Unionport/Soundview;Bicycle;2012;Percent;0,00384;209
University Heights;Work at Home;2012;Percent;0,0368;205
University Heights;Walking;2012;Percent;0,09297;205
University Heights;Public Transit;2012;Percent;0,67454;205
University Heights;Driving Alone;2012;Percent;0,13425;205
University Heights;Carpool, Taxi, Other;2012;Percent;0,05907;205
University Heights;Bicycle;2012;Percent;0,00237;205
Upper East Side;Work at Home;2012;Percent;0,0893;108
Upper East Side;Walking;2012;Percent;0,20486;108
Upper East Side;Public Transit;2012;Percent;0,53707;108
Upper East Side;Driving Alone;2012;Percent;0,07266;108
Upper East Side;Carpool, Taxi, Other;2012;Percent;0,09403;108
Upper East Side;Bicycle;2012;Percent;0,00208;108
Upper West Side;Bicycle;2012;Percent;0,00966;107
Upper West Side;Carpool, Taxi, Other;2012;Percent;0,04794;107
Upper West Side;Driving Alone;2012;Percent;0,05951;107
Upper West Side;Public Transit;2012;Percent;0,67617;107
Upper West Side;Walking;2012;Percent;0,12393;107
Upper West Side;Work at Home;2012;Percent;0,08278;107
Washington Heights;Work at Home;2012;Percent;0,04251;112
Washington Heights;Walking;2012;Percent;0,12372;112
Washington Heights;Public Transit;2012;Percent;0,6503;112
Washington Heights;Driving Alone;2012;Percent;0,10525;112
Washington Heights;Carpool, Taxi, Other;2012;Percent;0,07161;112
Washington Heights;Bicycle;2012;Percent;0,00661;112
Williamsbridge;Bicycle;2012;Percent;0,00168;212
Williamsbridge;Carpool, Taxi, Other;2012;Percent;0,057;212
Williamsbridge;Driving Alone;2012;Percent;0,34935;212
Williamsbridge;Public Transit;2012;Percent;0,51985;212
Williamsbridge;Walking;2012;Percent;0,0394;212
Williamsbridge;Work at Home;2012;Percent;0,03272;212
Williamsburg/Greenpoint;Bicycle;2012;Percent;0,02534;301
Williamsburg/Greenpoint;Carpool, Taxi, Other;2012;Percent;0,04125;301
Williamsburg/Greenpoint;Driving Alone;2012;Percent;0,10233;301
Williamsburg/Greenpoint;Public Transit;2012;Percent;0,60896;301
Williamsburg/Greenpoint;Walking;2012;Percent;0,14832;301
Williamsburg/Greenpoint;Work at Home;2012;Percent;0,0738;301
Woodhaven;Work at Home;2012;Percent;0,02855;409
Woodhaven;Walking;2012;Percent;0,05191;409
Woodhaven;Public Transit;2012;Percent;0,52181;409
Woodhaven;Driving Alone;2012;Percent;0,32349;409
Woodhaven;Carpool, Taxi, Other;2012;Percent;0,0693;409
Woodhaven;Bicycle;2012;Percent;0,00494;409
Astoria;Work at Home;2013;Percent;0,04872;401
Astoria;Walking;2013;Percent;0,06869;401
Astoria;Public Transit;2013;Percent;0,67171;401
Astoria;Driving Alone;2013;Percent;0,15333;401
Astoria;Carpool, Taxi, Other;2013;Percent;0,04336;401
Astoria;Bicycle;2013;Percent;0,01418;401
Battery Park/Tribeca;Bicycle;2013;Percent;0,02337;101
Battery Park/Tribeca;Carpool, Taxi, Other;2013;Percent;0,05827;101
Battery Park/Tribeca;Driving Alone;2013;Percent;0,03495;101
Battery Park/Tribeca;Public Transit;2013;Percent;0,57231;101
Battery Park/Tribeca;Walking;2013;Percent;0,2394;101
Battery Park/Tribeca;Work at Home;2013;Percent;0,07171;101
Bay Ridge;Work at Home;2013;Percent;0,02543;310
Bay Ridge;Walking;2013;Percent;0,09624;310
Bay Ridge;Public Transit;2013;Percent;0,56678;310
Bay Ridge;Driving Alone;2013;Percent;0,24205;310
Bay Ridge;Carpool, Taxi, Other;2013;Percent;0,06627;310
Bay Ridge;Bicycle;2013;Percent;0,00322;310
Bayside;Work at Home;2013;Percent;0,0473;411
Bayside;Walking;2013;Percent;0,01706;411
Bayside;Public Transit;2013;Percent;0,3003;411
Bayside;Driving Alone;2013;Percent;0,53266;411
Bayside;Carpool, Taxi, Other;2013;Percent;0,10114;411
Bayside;Bicycle;2013;Percent;0,00154;411
Bedford Park;Work at Home;2013;Percent;0,03625;207
Bedford Park;Walking;2013;Percent;0,09383;207
Bedford Park;Public Transit;2013;Percent;0,65973;207
Bedford Park;Driving Alone;2013;Percent;0,12738;207
Bedford Park;Carpool, Taxi, Other;2013;Percent;0,08282;207
Bedford Park;Bicycle;2013;Percent;0;207
Bedford Stuyvesant;Bicycle;2013;Percent;0,02821;303
Bedford Stuyvesant;Carpool, Taxi, Other;2013;Percent;0,03775;303
Bedford Stuyvesant;Driving Alone;2013;Percent;0,14435;303
Bedford Stuyvesant;Public Transit;2013;Percent;0,64775;303
Bedford Stuyvesant;Walking;2013;Percent;0,10194;303
Bedford Stuyvesant;Work at Home;2013;Percent;0,04001;303
Bensonhurst;Bicycle;2013;Percent;0,00885;311
Bensonhurst;Carpool, Taxi, Other;2013;Percent;0,09348;311
Bensonhurst;Driving Alone;2013;Percent;0,194;311
Bensonhurst;Public Transit;2013;Percent;0,61871;311
Bensonhurst;Walking;2013;Percent;0,07237;311
Bensonhurst;Work at Home;2013;Percent;0,01258;311
Borough Park;Work at Home;2013;Percent;0,0583;312
Borough Park;Walking;2013;Percent;0,18938;312
Borough Park;Public Transit;2013;Percent;0,47257;312
Borough Park;Driving Alone;2013;Percent;0,19728;312
Borough Park;Carpool, Taxi, Other;2013;Percent;0,07049;312
Borough Park;Bicycle;2013;Percent;0,01198;312
Brownsville;Work at Home;2013;Percent;0,01794;316
Brownsville;Walking;2013;Percent;0,07397;316
Brownsville;Public Transit;2013;Percent;0,68369;316
Brownsville;Driving Alone;2013;Percent;0,17897;316
Brownsville;Carpool, Taxi, Other;2013;Percent;0,04204;316
Brownsville;Bicycle;2013;Percent;0,00339;316
Bushwick;Work at Home;2013;Percent;0,0195;304
Bushwick;Walking;2013;Percent;0,06395;304
Bushwick;Public Transit;2013;Percent;0,7631;304
Bushwick;Driving Alone;2013;Percent;0,09969;304
Bushwick;Carpool, Taxi, Other;2013;Percent;0,02677;304
Bushwick;Bicycle;2013;Percent;0,02699;304
Canarsie;Work at Home;2013;Percent;0,02416;318
Canarsie;Walking;2013;Percent;0,0449;318
Canarsie;Public Transit;2013;Percent;0,48073;318
Canarsie;Driving Alone;2013;Percent;0,37819;318
Canarsie;Carpool, Taxi, Other;2013;Percent;0,06963;318
Canarsie;Bicycle;2013;Percent;0,00239;318
Central Harlem;Work at Home;2013;Percent;0,0672;110
Central Harlem;Walking;2013;Percent;0,09538;110
Central Harlem;Public Transit;2013;Percent;0,71864;110
Central Harlem;Driving Alone;2013;Percent;0,06148;110
Central Harlem;Carpool, Taxi, Other;2013;Percent;0,04242;110
Central Harlem;Bicycle;2013;Percent;0,01488;110
Chelsea/Clinton;Work at Home;2013;Percent;0,07672;104
Chelsea/Clinton;Walking;2013;Percent;0,33082;104
Chelsea/Clinton;Public Transit;2013;Percent;0,46205;104
Chelsea/Clinton;Driving Alone;2013;Percent;0,03356;104
Chelsea/Clinton;Carpool, Taxi, Other;2013;Percent;0,06319;104
Chelsea/Clinton;Bicycle;2013;Percent;0,03366;104
Concourse/Highbridge;Bicycle;2013;Percent;0,00551;204
Concourse/Highbridge;Carpool, Taxi, Other;2013;Percent;0,046;204
Concourse/Highbridge;Driving Alone;2013;Percent;0,13018;204
Concourse/Highbridge;Public Transit;2013;Percent;0,69656;204
Concourse/Highbridge;Walking;2013;Percent;0,09958;204
Concourse/Highbridge;Work at Home;2013;Percent;0,02217;204
Coney Island;Bicycle;2013;Percent;0,00123;313
Coney Island;Carpool, Taxi, Other;2013;Percent;0,06402;313
Coney Island;Driving Alone;2013;Percent;0,24658;313
Coney Island;Public Transit;2013;Percent;0,56301;313
Coney Island;Walking;2013;Percent;0,1007;313
Coney Island;Work at Home;2013;Percent;0,02446;313
Crown Heights North;Work at Home;2013;Percent;0,053;308
Crown Heights North;Walking;2013;Percent;0,06197;308
Crown Heights North;Public Transit;2013;Percent;0,70544;308
Crown Heights North;Driving Alone;2013;Percent;0,10049;308
Crown Heights North;Carpool, Taxi, Other;2013;Percent;0,04997;308
Crown Heights North;Bicycle;2013;Percent;0,02913;308
Crown Heights South;Bicycle;2013;Percent;0,01026;309
Crown Heights South;Carpool, Taxi, Other;2013;Percent;0,03558;309
Crown Heights South;Driving Alone;2013;Percent;0,17534;309
Crown Heights South;Public Transit;2013;Percent;0,66594;309
Crown Heights South;Walking;2013;Percent;0,07753;309
Crown Heights South;Work at Home;2013;Percent;0,03536;309
East Flatbush;Bicycle;2013;Percent;0,00501;317
East Flatbush;Carpool, Taxi, Other;2013;Percent;0,06934;317
East Flatbush;Driving Alone;2013;Percent;0,21133;317
East Flatbush;Public Transit;2013;Percent;0,6602;317
East Flatbush;Walking;2013;Percent;0,03402;317
East Flatbush;Work at Home;2013;Percent;0,02009;317
East New York;Bicycle;2013;Percent;0,00352;305
East New York;Carpool, Taxi, Other;2013;Percent;0,05528;305
East New York;Driving Alone;2013;Percent;0,22699;305
East New York;Public Transit;2013;Percent;0,64522;305
East New York;Walking;2013;Percent;0,04675;305
East New York;Work at Home;2013;Percent;0,02225;305
East Tremont;Bicycle;2013;Percent;0,00372;206
East Tremont;Carpool, Taxi, Other;2013;Percent;0,06433;206
East Tremont;Driving Alone;2013;Percent;0,17618;206
East Tremont;Public Transit;2013;Percent;0,6285;206
East Tremont;Walking;2013;Percent;0,0947;206
East Tremont;Work at Home;2013;Percent;0,03256;206
Elmhurst/Corona;Bicycle;2013;Percent;0,01127;404
Elmhurst/Corona;Carpool, Taxi, Other;2013;Percent;0,07784;404
Elmhurst/Corona;Driving Alone;2013;Percent;0,12661;404
Elmhurst/Corona;Public Transit;2013;Percent;0,66316;404
Elmhurst/Corona;Walking;2013;Percent;0,09927;404
Elmhurst/Corona;Work at Home;2013;Percent;0,02185;404
