Location;Industry;TimeFrame;DataFormat;Data;Fips
Bedford Stuyvesant;Construction and Manufacturing;2020;Number;4465;303
Bedford Stuyvesant;Education;2020;Number;7420;303
Bedford Stuyvesant;Health Care and Social Services;2020;Number;11128;303
Bedford Stuyvesant;Hospitality, Accommodation, Restaurants;2020;Number;8237;303
Bedford Stuyvesant;Information, Finance, Real Estate;2020;Number;8639;303
Bedford Stuyvesant;Management and Professional Services;2020;Number;10573;303
Bedford Stuyvesant;Other Services;2020;Number;3004;303
Bedford Stuyvesant;Public Administration;2020;Number;3112;303
Bedford Stuyvesant;Retail;2020;Number;7082;303
Bedford Stuyvesant;Transportation, Warehousing, Wholesale;2020;Number;6286;303
Bedford Stuyvesant;Construction and Manufacturing;2021;Number;5021;303
Bedford Stuyvesant;Education;2021;Number;7875;303
Bedford Stuyvesant;Health Care and Social Services;2021;Number;11903;303
Bedford Stuyvesant;Hospitality, Accommodation, Restaurants;2021;Number;7948;303
Bedford Stuyvesant;Information, Finance, Real Estate;2021;Number;9530;303
Bedford Stuyvesant;Management and Professional Services;2021;Number;12072;303
Bedford Stuyvesant;Other Services;2021;Number;3022;303
Bedford Stuyvesant;Public Administration;2021;Number;3165;303
Bedford Stuyvesant;Retail;2021;Number;7774;303
Bedford Stuyvesant;Transportation, Warehousing, Wholesale;2021;Number;6698;303
Bensonhurst;Construction and Manufacturing;2010;Number;12018;311
Bensonhurst;Education;2010;Number;5177;311
Bensonhurst;Health Care and Social Services;2010;Number;8665;311
Bensonhurst;Hospitality, Accommodation, Restaurants;2010;Number;7221;311
Bensonhurst;Information, Finance, Real Estate;2010;Number;8923;311
Bensonhurst;Management and Professional Services;2010;Number;7066;311
Bensonhurst;Other Services;2010;Number;4488;311
Bensonhurst;Public Administration;2010;Number;2027;311
Bensonhurst;Retail;2010;Number;8244;311
Bensonhurst;Transportation, Warehousing, Wholesale;2010;Number;8498;311
Bensonhurst;Construction and Manufacturing;2015;Number;12246;311
Bensonhurst;Education;2015;Number;6166;311
Bensonhurst;Health Care and Social Services;2015;Number;14882;311
Bensonhurst;Hospitality, Accommodation, Restaurants;2015;Number;9638;311
Bensonhurst;Information, Finance, Real Estate;2015;Number;8800;311
Bensonhurst;Management and Professional Services;2015;Number;8555;311
Bensonhurst;Other Services;2015;Number;4658;311
Bensonhurst;Public Administration;2015;Number;2432;311
Bensonhurst;Retail;2015;Number;9030;311
Bensonhurst;Transportation, Warehousing, Wholesale;2015;Number;7923;311
Bensonhurst;Construction and Manufacturing;2020;Number;11915;311
Bensonhurst;Education;2020;Number;6459;311
Bensonhurst;Health Care and Social Services;2020;Number;16304;311
Bensonhurst;Hospitality, Accommodation, Restaurants;2020;Number;9280;311
Bensonhurst;Information, Finance, Real Estate;2020;Number;8041;311
Bensonhurst;Management and Professional Services;2020;Number;8318;311
Bensonhurst;Other Services;2020;Number;4773;311
Bensonhurst;Public Administration;2020;Number;2955;311
Bensonhurst;Retail;2020;Number;7505;311
Bensonhurst;Transportation, Warehousing, Wholesale;2020;Number;9828;311
Bensonhurst;Construction and Manufacturing;2021;Number;12189;311
Bensonhurst;Education;2021;Number;7154;311
Bensonhurst;Health Care and Social Services;2021;Number;17571;311
Bensonhurst;Hospitality, Accommodation, Restaurants;2021;Number;8980;311
Bensonhurst;Information, Finance, Real Estate;2021;Number;7995;311
Bensonhurst;Management and Professional Services;2021;Number;9233;311
Bensonhurst;Other Services;2021;Number;4748;311
Bensonhurst;Public Administration;2021;Number;2907;311
Bensonhurst;Retail;2021;Number;8082;311
Bensonhurst;Transportation, Warehousing, Wholesale;2021;Number;10134;311
Borough Park;Construction and Manufacturing;2010;Number;7568;312
Borough Park;Education;2010;Number;8474;312
Borough Park;Health Care and Social Services;2010;Number;8032;312
Borough Park;Hospitality, Accommodation, Restaurants;2010;Number;4401;312
Borough Park;Information, Finance, Real Estate;2010;Number;6468;312
Borough Park;Management and Professional Services;2010;Number;5623;312
Borough Park;Other Services;2010;Number;3350;312
Borough Park;Public Administration;2010;Number;1220;312
Borough Park;Retail;2010;Number;6852;312
Borough Park;Transportation, Warehousing, Wholesale;2010;Number;5351;312
Borough Park;Construction and Manufacturing;2015;Number;6987;312
Borough Park;Education;2015;Number;9756;312
Borough Park;Health Care and Social Services;2015;Number;8989;312
Borough Park;Hospitality, Accommodation, Restaurants;2015;Number;5842;312
Borough Park;Information, Finance, Real Estate;2015;Number;5493;312
Borough Park;Management and Professional Services;2015;Number;5536;312
Borough Park;Other Services;2015;Number;3596;312
Borough Park;Public Administration;2015;Number;1291;312
Borough Park;Retail;2015;Number;7151;312
Borough Park;Transportation, Warehousing, Wholesale;2015;Number;5673;312
Borough Park;Construction and Manufacturing;2020;Number;5261;312
Borough Park;Education;2020;Number;9834;312
Borough Park;Health Care and Social Services;2020;Number;9020;312
Borough Park;Hospitality, Accommodation, Restaurants;2020;Number;4880;312
Borough Park;Information, Finance, Real Estate;2020;Number;5889;312
Borough Park;Management and Professional Services;2020;Number;6232;312
Borough Park;Other Services;2020;Number;3010;312
Borough Park;Public Administration;2020;Number;1051;312
Borough Park;Retail;2020;Number;5989;312
Borough Park;Transportation, Warehousing, Wholesale;2020;Number;5089;312
Borough Park;Construction and Manufacturing;2021;Number;5489;312
Borough Park;Education;2021;Number;9932;312
Borough Park;Health Care and Social Services;2021;Number;9213;312
Borough Park;Hospitality, Accommodation, Restaurants;2021;Number;4901;312
Borough Park;Information, Finance, Real Estate;2021;Number;5897;312
Borough Park;Management and Professional Services;2021;Number;6300;312
Borough Park;Other Services;2021;Number;2977;312
Borough Park;Public Administration;2021;Number;1154;312
Borough Park;Retail;2021;Number;5796;312
Borough Park;Transportation, Warehousing, Wholesale;2021;Number;5270;312
Brownsville;Construction and Manufacturing;2010;Number;3522;316
Brownsville;Education;2010;Number;2863;316
Brownsville;Health Care and Social Services;2010;Number;10701;316
Brownsville;Hospitality, Accommodation, Restaurants;2010;Number;2268;316
Brownsville;Information, Finance, Real Estate;2010;Number;3021;316
Brownsville;Management and Professional Services;2010;Number;3927;316
Brownsville;Other Services;2010;Number;2480;316
Brownsville;Public Administration;2010;Number;2590;316
Brownsville;Retail;2010;Number;3633;316
Brownsville;Transportation, Warehousing, Wholesale;2010;Number;4014;316
Brownsville;Construction and Manufacturing;2015;Number;2932;316
Brownsville;Education;2015;Number;2848;316
Brownsville;Health Care and Social Services;2015;Number;13011;316
Brownsville;Hospitality, Accommodation, Restaurants;2015;Number;3354;316
Brownsville;Information, Finance, Real Estate;2015;Number;2783;316
Brownsville;Management and Professional Services;2015;Number;4335;316
Brownsville;Other Services;2015;Number;2300;316
Brownsville;Public Administration;2015;Number;2684;316
Brownsville;Retail;2015;Number;4737;316
Brownsville;Transportation, Warehousing, Wholesale;2015;Number;4560;316
Brownsville;Construction and Manufacturing;2020;Number;3586;316
Brownsville;Education;2020;Number;3249;316
Brownsville;Health Care and Social Services;2020;Number;10626;316
Brownsville;Hospitality, Accommodation, Restaurants;2020;Number;3727;316
Brownsville;Information, Finance, Real Estate;2020;Number;3406;316
Brownsville;Management and Professional Services;2020;Number;4249;316
Brownsville;Other Services;2020;Number;2494;316
Brownsville;Public Administration;2020;Number;2387;316
Brownsville;Retail;2020;Number;4206;316
Brownsville;Transportation, Warehousing, Wholesale;2020;Number;4986;316
Brownsville;Construction and Manufacturing;2021;Number;3723;316
Brownsville;Education;2021;Number;3992;316
Brownsville;Health Care and Social Services;2021;Number;12111;316
Brownsville;Hospitality, Accommodation, Restaurants;2021;Number;3645;316
Brownsville;Information, Finance, Real Estate;2021;Number;3299;316
Brownsville;Management and Professional Services;2021;Number;4981;316
Brownsville;Other Services;2021;Number;2802;316
Brownsville;Public Administration;2021;Number;2235;316
Brownsville;Retail;2021;Number;4339;316
Brownsville;Transportation, Warehousing, Wholesale;2021;Number;4538;316
Bushwick;Construction and Manufacturing;2010;Number;8359;304
Bushwick;Education;2010;Number;3108;304
Bushwick;Health Care and Social Services;2010;Number;8536;304
Bushwick;Hospitality, Accommodation, Restaurants;2010;Number;6444;304
Bushwick;Information, Finance, Real Estate;2010;Number;4451;304
Bushwick;Management and Professional Services;2010;Number;5739;304
Bushwick;Other Services;2010;Number;3531;304
Bushwick;Public Administration;2010;Number;1909;304
Bushwick;Retail;2010;Number;6102;304
Bushwick;Transportation, Warehousing, Wholesale;2010;Number;5236;304
Bushwick;Construction and Manufacturing;2015;Number;8851;304
Bushwick;Education;2015;Number;4454;304
Bushwick;Health Care and Social Services;2015;Number;9110;304
Bushwick;Hospitality, Accommodation, Restaurants;2015;Number;9899;304
Bushwick;Information, Finance, Real Estate;2015;Number;5694;304
Bushwick;Management and Professional Services;2015;Number;7516;304
Bushwick;Other Services;2015;Number;4162;304
Bushwick;Public Administration;2015;Number;1542;304
Bushwick;Retail;2015;Number;7753;304
Bushwick;Transportation, Warehousing, Wholesale;2015;Number;4879;304
Bushwick;Construction and Manufacturing;2020;Number;6075;304
Bushwick;Education;2020;Number;4502;304
Bushwick;Health Care and Social Services;2020;Number;9112;304
Bushwick;Hospitality, Accommodation, Restaurants;2020;Number;10712;304
Bushwick;Information, Finance, Real Estate;2020;Number;7984;304
Bushwick;Management and Professional Services;2020;Number;10687;304
Bushwick;Other Services;2020;Number;3534;304
Bushwick;Public Administration;2020;Number;1852;304
Bushwick;Retail;2020;Number;7469;304
Bushwick;Transportation, Warehousing, Wholesale;2020;Number;5407;304
Bushwick;Construction and Manufacturing;2021;Number;6213;304
Bushwick;Education;2021;Number;5330;304
Bushwick;Health Care and Social Services;2021;Number;9801;304
Bushwick;Hospitality, Accommodation, Restaurants;2021;Number;11243;304
Bushwick;Information, Finance, Real Estate;2021;Number;8896;304
Bushwick;Management and Professional Services;2021;Number;11463;304
Bushwick;Other Services;2021;Number;4016;304
Bushwick;Public Administration;2021;Number;1894;304
Bushwick;Retail;2021;Number;7135;304
Bushwick;Transportation, Warehousing, Wholesale;2021;Number;5859;304
Canarsie;Construction and Manufacturing;2010;Number;7309;318
Canarsie;Education;2010;Number;9633;318
Canarsie;Health Care and Social Services;2010;Number;25202;318
Canarsie;Hospitality, Accommodation, Restaurants;2010;Number;4823;318
Canarsie;Information, Finance, Real Estate;2010;Number;10121;318
Canarsie;Management and Professional Services;2010;Number;8281;318
Canarsie;Other Services;2010;Number;4781;318
Canarsie;Public Administration;2010;Number;6011;318
Canarsie;Retail;2010;Number;8034;318
Canarsie;Transportation, Warehousing, Wholesale;2010;Number;9932;318
Canarsie;Construction and Manufacturing;2015;Number;6517;318
Canarsie;Education;2015;Number;10663;318
Canarsie;Health Care and Social Services;2015;Number;27423;318
Canarsie;Hospitality, Accommodation, Restaurants;2015;Number;5811;318
Canarsie;Information, Finance, Real Estate;2015;Number;9048;318
Canarsie;Management and Professional Services;2015;Number;8209;318
Canarsie;Other Services;2015;Number;4308;318
Canarsie;Public Administration;2015;Number;5458;318
Canarsie;Retail;2015;Number;8551;318
Canarsie;Transportation, Warehousing, Wholesale;2015;Number;10669;318
Canarsie;Construction and Manufacturing;2020;Number;6932;318
Canarsie;Education;2020;Number;10105;318
Canarsie;Health Care and Social Services;2020;Number;27347;318
Canarsie;Hospitality, Accommodation, Restaurants;2020;Number;5329;318
Canarsie;Information, Finance, Real Estate;2020;Number;8130;318
Canarsie;Management and Professional Services;2020;Number;8281;318
Canarsie;Other Services;2020;Number;3574;318
Canarsie;Public Administration;2020;Number;5111;318
Canarsie;Retail;2020;Number;8595;318
Canarsie;Transportation, Warehousing, Wholesale;2020;Number;8956;318
Canarsie;Construction and Manufacturing;2021;Number;6708;318
Canarsie;Education;2021;Number;10089;318
Canarsie;Health Care and Social Services;2021;Number;28040;318
Canarsie;Hospitality, Accommodation, Restaurants;2021;Number;5164;318
Canarsie;Information, Finance, Real Estate;2021;Number;8090;318
Canarsie;Management and Professional Services;2021;Number;8925;318
Canarsie;Other Services;2021;Number;3626;318
Canarsie;Public Administration;2021;Number;4872;318
Canarsie;Retail;2021;Number;8684;318
Canarsie;Transportation, Warehousing, Wholesale;2021;Number;9509;318
Central Harlem;Construction and Manufacturing;2010;Number;2762;110
Central Harlem;Education;2010;Number;5300;110
Central Harlem;Health Care and Social Services;2010;Number;10118;110
Central Harlem;Hospitality, Accommodation, Restaurants;2010;Number;4831;110
Central Harlem;Information, Finance, Real Estate;2010;Number;6901;110
Central Harlem;Management and Professional Services;2010;Number;6150;110
Central Harlem;Other Services;2010;Number;3240;110
Central Harlem;Public Administration;2010;Number;3085;110
Central Harlem;Retail;2010;Number;5187;110
Central Harlem;Transportation, Warehousing, Wholesale;2010;Number;3885;110
Central Harlem;Construction and Manufacturing;2015;Number;2836;110
Central Harlem;Education;2015;Number;5372;110
Central Harlem;Health Care and Social Services;2015;Number;11158;110
Central Harlem;Hospitality, Accommodation, Restaurants;2015;Number;8079;110
Central Harlem;Information, Finance, Real Estate;2015;Number;7290;110
Central Harlem;Management and Professional Services;2015;Number;7789;110
Central Harlem;Other Services;2015;Number;3217;110
Central Harlem;Public Administration;2015;Number;2661;110
Central Harlem;Retail;2015;Number;5764;110
Central Harlem;Transportation, Warehousing, Wholesale;2015;Number;4250;110
Central Harlem;Construction and Manufacturing;2020;Number;3288;110
Central Harlem;Education;2020;Number;7903;110
Central Harlem;Health Care and Social Services;2020;Number;11727;110
Central Harlem;Hospitality, Accommodation, Restaurants;2020;Number;7903;110
Central Harlem;Information, Finance, Real Estate;2020;Number;9180;110
Central Harlem;Management and Professional Services;2020;Number;9176;110
Central Harlem;Other Services;2020;Number;3581;110
Central Harlem;Public Administration;2020;Number;3204;110
Central Harlem;Retail;2020;Number;5717;110
Central Harlem;Transportation, Warehousing, Wholesale;2020;Number;4444;110
Central Harlem;Construction and Manufacturing;2021;Number;3024;110
Central Harlem;Education;2021;Number;8485;110
Central Harlem;Health Care and Social Services;2021;Number;12133;110
Central Harlem;Hospitality, Accommodation, Restaurants;2021;Number;7311;110
Central Harlem;Information, Finance, Real Estate;2021;Number;8803;110
Central Harlem;Management and Professional Services;2021;Number;9395;110
Central Harlem;Other Services;2021;Number;3586;110
Central Harlem;Public Administration;2021;Number;3480;110
Central Harlem;Retail;2021;Number;5189;110
Central Harlem;Transportation, Warehousing, Wholesale;2021;Number;4921;110
Chelsea/Clinton;Construction and Manufacturing;2010;Number;2762,43254;104
Chelsea/Clinton;Education;2010;Number;4500,53244;104
Chelsea/Clinton;Health Care and Social Services;2010;Number;4835,09002;104
Chelsea/Clinton;Hospitality, Accommodation, Restaurants;2010;Number;7206,31679;104
Chelsea/Clinton;Information, Finance, Real Estate;2010;Number;16419,31257;104
Chelsea/Clinton;Management and Professional Services;2010;Number;13352,97912;104
Chelsea/Clinton;Other Services;2010;Number;2201,28219;104
Chelsea/Clinton;Public Administration;2010;Number;1299,57623;104
Chelsea/Clinton;Retail;2010;Number;4449,21584;104
Chelsea/Clinton;Transportation, Warehousing, Wholesale;2010;Number;2347,2346;104
Chelsea/Clinton;Construction and Manufacturing;2015;Number;3262,936;104
Chelsea/Clinton;Education;2015;Number;4533,18846;104
