Location;Age Group;TimeFrame;DataFormat;Data;Fips
Battery Park/Tribeca;Youth 18 to 24 Years;2018;Number;6640.80846;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2019;Number;49931.25502;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2019;Number;9008.14117;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2019;Number;7498.57282;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2021;Number;7007;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2021;Number;6839;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2021;Number;45384;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2022;Number;6979;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2022;Number;9587;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2022;Number;51852;101
;;;;;
Bay Ridge;Adults 25 Years and Older;2005;Number;88764;310
;;;;;
Bay Ridge;Children Under 18 Years;2005;Number;25916;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2005;Number;9659;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2006;Number;88324;310
;;;;;
Bay Ridge;Children Under 18 Years;2006;Number;23648;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2006;Number;11475;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2007;Number;91585;310
;;;;;
Bay Ridge;Children Under 18 Years;2007;Number;25091;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2007;Number;10054;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2008;Number;90792;310
;;;;;
Bay Ridge;Children Under 18 Years;2008;Number;20351;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2008;Number;10247;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2009;Number;90760;310
;;;;;
Bay Ridge;Children Under 18 Years;2009;Number;29548;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2009;Number;8503;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2010;Number;99192;310
;;;;;
Bay Ridge;Children Under 18 Years;2010;Number;28504;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2010;Number;9903;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2011;Number;93940;310
;;;;;
Bay Ridge;Children Under 18 Years;2011;Number;28126;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2011;Number;10865;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2012;Number;89698;310
;;;;;
Bay Ridge;Children Under 18 Years;2012;Number;27312;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2012;Number;10471;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2013;Number;93002;310
;;;;;
Bay Ridge;Children Under 18 Years;2013;Number;25904;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2013;Number;8777;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2014;Number;91642;310
;;;;;
Bay Ridge;Children Under 18 Years;2014;Number;27529;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2014;Number;9374;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2015;Number;90609;310
;;;;;
Bay Ridge;Children Under 18 Years;2015;Number;22346;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2015;Number;9463;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2016;Number;85838;310
;;;;;
Bay Ridge;Children Under 18 Years;2016;Number;22916;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2016;Number;10050;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2017;Number;92082;310
;;;;;
Bay Ridge;Children Under 18 Years;2017;Number;23293;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2017;Number;8113;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2018;Number;88823;310
;;;;;
Bay Ridge;Children Under 18 Years;2018;Number;27316;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2018;Number;9061;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2019;Number;88943;310
;;;;;
Bay Ridge;Children Under 18 Years;2019;Number;24740;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2019;Number;8242;310
;;;;;
Bay Ridge;Children Under 18 Years;2021;Number;22155;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2021;Number;8429;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2021;Number;81368;310
;;;;;
Bay Ridge;Children Under 18 Years;2022;Number;24332;310
;;;;;
Bay Ridge;Youth 18 to 24 Years;2022;Number;7771;310
;;;;;
Bay Ridge;Adults 25 Years and Older;2022;Number;84593;310
;;;;;
Bayside;Adults 25 Years and Older;2005;Number;81429;411
;;;;;
Bayside;Children Under 18 Years;2005;Number;22659;411
;;;;;
Bayside;Youth 18 to 24 Years;2005;Number;7485;411
;;;;;
Bayside;Adults 25 Years and Older;2006;Number;88207;411
;;;;;
Bayside;Children Under 18 Years;2006;Number;21566;411
;;;;;
Bayside;Youth 18 to 24 Years;2006;Number;8011;411
;;;;;
Bayside;Adults 25 Years and Older;2007;Number;89488;411
;;;;;
Bayside;Children Under 18 Years;2007;Number;22897;411
;;;;;
Bayside;Youth 18 to 24 Years;2007;Number;11027;411
;;;;;
Bayside;Adults 25 Years and Older;2008;Number;89257;411
;;;;;
Bayside;Children Under 18 Years;2008;Number;27246;411
;;;;;
Bayside;Youth 18 to 24 Years;2008;Number;8486;411
;;;;;
Bayside;Adults 25 Years and Older;2009;Number;89247;411
;;;;;
Bayside;Children Under 18 Years;2009;Number;26673;411
;;;;;
Bayside;Youth 18 to 24 Years;2009;Number;7701;411
;;;;;
Bayside;Adults 25 Years and Older;2010;Number;89432;411
;;;;;
Bayside;Children Under 18 Years;2010;Number;23745;411
;;;;;
Bayside;Youth 18 to 24 Years;2010;Number;7251;411
;;;;;
Bayside;Adults 25 Years and Older;2011;Number;86221;411
;;;;;
Bayside;Children Under 18 Years;2011;Number;23864;411
;;;;;
Bayside;Youth 18 to 24 Years;2011;Number;8584;411
;;;;;
Bayside;Adults 25 Years and Older;2012;Number;91069;411
;;;;;
Bayside;Children Under 18 Years;2012;Number;23438;411
;;;;;
Bayside;Youth 18 to 24 Years;2012;Number;8639;411
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Bayside;Adults 25 Years and Older;2013;Number;87377;411
;;;;;
Bayside;Children Under 18 Years;2013;Number;22580;411
;;;;;
Bayside;Youth 18 to 24 Years;2013;Number;8293;411
;;;;;
Bayside;Adults 25 Years and Older;2014;Number;89069;411
;;;;;
Bayside;Children Under 18 Years;2014;Number;24380;411
;;;;;
Bayside;Youth 18 to 24 Years;2014;Number;7547;411
;;;;;
Bayside;Adults 25 Years and Older;2015;Number;87968;411
;;;;;
Bayside;Children Under 18 Years;2015;Number;19129;411
;;;;;
Bayside;Youth 18 to 24 Years;2015;Number;6466;411
;;;;;
Bayside;Adults 25 Years and Older;2016;Number;86144;411
;;;;;
Bayside;Children Under 18 Years;2016;Number;24004;411
;;;;;
Bayside;Youth 18 to 24 Years;2016;Number;7233;411
;;;;;
Bayside;Adults 25 Years and Older;2017;Number;89708;411
;;;;;
Bayside;Children Under 18 Years;2017;Number;20199;411
;;;;;
Bayside;Youth 18 to 24 Years;2017;Number;8763;411
;;;;;
Bayside;Adults 25 Years and Older;2018;Number;88810;411
;;;;;
Bayside;Children Under 18 Years;2018;Number;20444;411
;;;;;
Bayside;Youth 18 to 24 Years;2018;Number;6490;411
;;;;;
Bayside;Adults 25 Years and Older;2019;Number;86753;411
;;;;;
Bayside;Children Under 18 Years;2019;Number;20652;411
;;;;;
Bayside;Youth 18 to 24 Years;2019;Number;7157;411
;;;;;
Bayside;Children Under 18 Years;2021;Number;24835;411
;;;;;
Bayside;Youth 18 to 24 Years;2021;Number;5952;411
;;;;;
Bayside;Adults 25 Years and Older;2021;Number;90343;411
;;;;;
Bayside;Children Under 18 Years;2022;Number;22122;411
;;;;;
Bayside;Youth 18 to 24 Years;2022;Number;5551;411
;;;;;
Bayside;Adults 25 Years and Older;2022;Number;90620;411
;;;;;
Bedford Park;Adults 25 Years and Older;2005;Number;77317;207
;;;;;
Bedford Park;Children Under 18 Years;2005;Number;40205;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2005;Number;14013;207
;;;;;
Bedford Park;Adults 25 Years and Older;2006;Number;75453;207
;;;;;
Bedford Park;Children Under 18 Years;2006;Number;35663;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2006;Number;13852;207
;;;;;
Bedford Park;Adults 25 Years and Older;2007;Number;71531;207
;;;;;
Bedford Park;Children Under 18 Years;2007;Number;36403;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2007;Number;13700;207
;;;;;
Bedford Park;Adults 25 Years and Older;2008;Number;73335;207
;;;;;
Bedford Park;Children Under 18 Years;2008;Number;35096;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2008;Number;14292;207
;;;;;
Bedford Park;Adults 25 Years and Older;2009;Number;76368;207
;;;;;
Bedford Park;Children Under 18 Years;2009;Number;41829;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2009;Number;12093;207
;;;;;
Bedford Park;Adults 25 Years and Older;2010;Number;77165;207
;;;;;
Bedford Park;Children Under 18 Years;2010;Number;33665;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2010;Number;13996;207
;;;;;
Bedford Park;Adults 25 Years and Older;2011;Number;72186;207
;;;;;
Bedford Park;Children Under 18 Years;2011;Number;31074;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2011;Number;14540;207
;;;;;
Bedford Park;Adults 25 Years and Older;2012;Number;79898;207
;;;;;
Bedford Park;Children Under 18 Years;2012;Number;33492;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2012;Number;14727;207
;;;;;
Bedford Park;Adults 25 Years and Older;2013;Number;78127;207
;;;;;
Bedford Park;Children Under 18 Years;2013;Number;35972;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2013;Number;13237;207
;;;;;
Bedford Park;Adults 25 Years and Older;2014;Number;85390;207
;;;;;
Bedford Park;Children Under 18 Years;2014;Number;36123;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2014;Number;14380;207
;;;;;
Bedford Park;Adults 25 Years and Older;2015;Number;82584;207
;;;;;
Bedford Park;Children Under 18 Years;2015;Number;32563;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2015;Number;14737;207
;;;;;
Bedford Park;Adults 25 Years and Older;2016;Number;87100;207
;;;;;
Bedford Park;Children Under 18 Years;2016;Number;36917;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2016;Number;14882;207
;;;;;
Bedford Park;Adults 25 Years and Older;2017;Number;87824;207
;;;;;
Bedford Park;Children Under 18 Years;2017;Number;41826;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2017;Number;13890;207
;;;;;
Bedford Park;Adults 25 Years and Older;2018;Number;86801;207
;;;;;
Bedford Park;Children Under 18 Years;2018;Number;33111;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2018;Number;13872;207
;;;;;
Bedford Park;Adults 25 Years and Older;2019;Number;97115;207
;;;;;
Bedford Park;Children Under 18 Years;2019;Number;40251;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2019;Number;14318;207
;;;;;
Bedford Park;Children Under 18 Years;2021;Number;31689;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2021;Number;11536;207
;;;;;
Bedford Park;Adults 25 Years and Older;2021;Number;87182;207
;;;;;
Bedford Park;Children Under 18 Years;2022;Number;33380;207
;;;;;
Bedford Park;Youth 18 to 24 Years;2022;Number;10671;207
;;;;;
Bedford Park;Adults 25 Years and Older;2022;Number;88329;207
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2005;Number;78931;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2005;Number;42624;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2005;Number;14004;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2006;Number;70511;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2006;Number;43488;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2006;Number;18088;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2007;Number;73438;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2007;Number;39540;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2007;Number;12721;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2008;Number;80510;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2008;Number;44333;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2008;Number;16221;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2009;Number;77663;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2009;Number;39607;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2009;Number;15244;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2010;Number;84026;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2010;Number;34543;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2010;Number;14733;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2011;Number;81423;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2011;Number;36618;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2011;Number;14483;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2012;Number;84906;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2012;Number;35561;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2012;Number;15995;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2013;Number;85869;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2013;Number;43213;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2013;Number;14547;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2014;Number;85707;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2014;Number;30534;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2014;Number;16994;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2015;Number;91701;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2015;Number;43921;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2015;Number;15235;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2016;Number;97967;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2016;Number;34979;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2016;Number;15291;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2017;Number;94570;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2017;Number;34091;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2017;Number;13366;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2018;Number;100143;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2018;Number;40787;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2018;Number;14187;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2019;Number;99248;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2019;Number;31370;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2019;Number;13688;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2021;Number;35005;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2021;Number;12066;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2021;Number;89990;303
;;;;;
Bedford Stuyvesant;Children Under 18 Years;2022;Number;34118;303
;;;;;
Bedford Stuyvesant;Youth 18 to 24 Years;2022;Number;14549;303
;;;;;
Bedford Stuyvesant;Adults 25 Years and Older;2022;Number;117713;303
;;;;;
Bensonhurst;Adults 25 Years and Older;2005;Number;126340;311
;;;;;
Bensonhurst;Children Under 18 Years;2005;Number;40646;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2005;Number;14871;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2006;Number;123205;311
;;;;;
Bensonhurst;Children Under 18 Years;2006;Number;37184;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2006;Number;14204;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2007;Number;133110;311
;;;;;
Bensonhurst;Children Under 18 Years;2007;Number;35973;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2007;Number;15175;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2008;Number;130500;311
;;;;;
Bensonhurst;Children Under 18 Years;2008;Number;41106;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2008;Number;11477;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2009;Number;120218;311
;;;;;
Bensonhurst;Children Under 18 Years;2009;Number;31213;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2009;Number;11953;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2010;Number;121210;311
;;;;;
Bensonhurst;Children Under 18 Years;2010;Number;31361;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2010;Number;11935;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2011;Number;129610;311
;;;;;
Bensonhurst;Children Under 18 Years;2011;Number;35502;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2011;Number;16115;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2012;Number;133555;311
;;;;;
Bensonhurst;Children Under 18 Years;2012;Number;37324;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2012;Number;18541;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2013;Number;133925;311
;;;;;
Bensonhurst;Children Under 18 Years;2013;Number;37450;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2013;Number;13532;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2014;Number;134004;311
;;;;;
Bensonhurst;Children Under 18 Years;2014;Number;39308;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2014;Number;14325;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2015;Number;133670;311
;;;;;
Bensonhurst;Children Under 18 Years;2015;Number;39249;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2015;Number;14942;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2016;Number;135043;311
;;;;;
Bensonhurst;Children Under 18 Years;2016;Number;40545;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2016;Number;13838;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2017;Number;143445;311
;;;;;
Bensonhurst;Children Under 18 Years;2017;Number;45795;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2017;Number;16610;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2018;Number;132733;311
;;;;;
Bensonhurst;Children Under 18 Years;2018;Number;39929;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2018;Number;14188;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2019;Number;133090;311
;;;;;
Bensonhurst;Children Under 18 Years;2019;Number;40330;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2019;Number;13539;311
;;;;;
Bensonhurst;Children Under 18 Years;2021;Number;48768;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2021;Number;16332;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2021;Number;141419;311
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Bensonhurst;Children Under 18 Years;2022;Number;39932;311
;;;;;
Bensonhurst;Youth 18 to 24 Years;2022;Number;15565;311
;;;;;
Bensonhurst;Adults 25 Years and Older;2022;Number;128918;311
;;;;;
Borough Park;Adults 25 Years and Older;2005;Number;86888;312
;;;;;
Borough Park;Children Under 18 Years;2005;Number;53546;312
;;;;;
Borough Park;Youth 18 to 24 Years;2005;Number;14091;312
;;;;;
Borough Park;Adults 25 Years and Older;2006;Number;82761;312
;;;;;
Borough Park;Children Under 18 Years;2006;Number;58060;312
;;;;;
Borough Park;Youth 18 to 24 Years;2006;Number;14688;312
;;;;;
Borough Park;Adults 25 Years and Older;2007;Number;95442;312
